Break1_chr	Break1_loc	Break_direction	Break2_chr	Break2_loc	MapQ	Read_ID	Classification
NC_000068.8	22806825	><	NC_000068.8	22806249	60	ERR2680377.7387	Pass
NC_000073.7	19430304	<<	NC_000081.7	99632982	48	ERR2680377.7478	Chimeric
NC_000086.8	93579569	><	NC_000086.8	93579704	60	ERR2680377.7556	Foldback
NC_000068.8	156072561	>>	NC_000068.8	156062326	60	ERR2680377.7562	Pass
NC_000078.7	96889665	><	NC_000076.7	127883661	48	ERR2680377.7703	Chimeric
NC_000077.7	110967226	<>	NC_000076.7	8925706	60	ERR2680377.7732	Chimeric
NC_000086.8	92799225	><	NC_000082.7	11518185	60	ERR2680377.8081	Chimeric
NC_000067.7	165288799	<>	NC_000070.7	115696426	60	ERR2680377.8156	Chimeric
NC_000081.7	77016954	<<	NC_000083.7	24904560	60	ERR2680377.8250	Chimeric
NC_000077.7	50185293	<<	NC_000085.7	45548974	60	ERR2680377.8433	Chimeric
NC_000073.7	19430914	><	NC_000073.7	19430854	60	ERR2680377.8441	Foldback
NC_000083.7	12451859	<>	NC_000083.7	12456950	60	ERR2680377.8445	Pass
NC_000083.7	57297347	<>	NC_000084.7	35833864	60	ERR2680377.8882	Chimeric
NC_000068.8	157404128	<<	NC_000068.8	35939335	48	ERR2680377.9085	Chimeric
NC_000072.7	124912680	<>	NC_000072.7	124912682	60	ERR2680377.9193	Foldback
NC_000082.7	49714600	<<	NC_000078.7	100172765	60	ERR2680377.9342	Chimeric
NC_000067.7	179203138	<<	NC_000067.7	179210481	60	ERR2680377.9457	Pass
NC_000075.7	34900145	<>	NC_000075.7	34899996	60	ERR2680377.9585	Foldback
NC_000077.7	69807550	<<	NC_000075.7	69997560	56	ERR2680377.9606	Chimeric
NC_000077.7	75508639	>>	NC_000077.7	75508136	60	ERR2680377.9697	Pass
NC_000075.7	48310976	<>	NC_000075.7	48310114	10	ERR2680377.9698	Pass
NC_000077.7	62210275	><	NC_000077.7	62210225	60	ERR2680377.9759	Foldback
NC_000072.7	30098596	<>	NC_000072.7	30098650	28	ERR2680377.9901	Foldback
NC_000079.7	34259343	><	NC_000079.7	34258501	60	ERR2680377.9966	Pass
NC_000081.7	78819159	<>	NC_000081.7	78819138	60	ERR2680377.10031	Foldback
NC_000072.7	129518946	<>	NC_000072.7	129518885	60	ERR2680377.10067	Foldback
NC_000083.7	45853635	<>	NC_000083.7	45853935	60	ERR2680377.10261	Pass
NC_000074.7	82123157	<>	NC_000075.7	48625854	60	ERR2680377.10363	Chimeric
NC_000073.7	73076951	><	NC_000073.7	73077434	60	ERR2680377.10790	Pass
NC_000071.7	104232939	><	NC_000071.7	104261577	60	ERR2680377.10794	Pass
NC_000070.7	87136731	>>	NC_000070.7	87135005	60	ERR2680377.10841	Pass
NC_000076.7	90421604	<<	NC_000080.7	5549889	60	ERR2680377.11153	Chimeric
NC_000073.7	141635130	><	NC_000073.7	141634274	60	ERR2680377.11269	Pass
NC_000077.7	32182449	><	NC_000080.7	34634165	60	ERR2680377.11626	Chimeric
NC_000082.7	75036871	<<	NC_000082.7	75039101	60	ERR2680377.11800	Pass
NC_000077.7	115162559	><	NC_000077.7	115159510	60	ERR2680377.11802	Pass
NC_000070.7	76315943	><	NC_000070.7	76317132	60	ERR2680377.11847	Pass
NC_000078.7	81244949	>>	NC_000068.8	6887417	60	ERR2680377.11871	Chimeric
NC_000082.7	88086471	<<	NC_000082.7	87853064	60	ERR2680377.11990	Pass
NC_000083.7	45855059	><	NC_000083.7	45854814	60	ERR2680377.12057	Pass
NC_000084.7	20799511	<<	NC_000074.7	10644914	60	ERR2680377.12116	Chimeric
NC_000071.7	49168266	<<	NC_000071.7	49169805	60	ERR2680377.12151	Pass
NC_000074.7	65048044	><	NC_000070.7	132260889	60	ERR2680377.12162	Chimeric
NC_000076.7	61288493	><	NC_000076.7	61288391	60	ERR2680377.12352	Foldback
NC_000074.7	107773428	<>	NC_000076.7	20105233	60	ERR2680377.12365	Chimeric
NC_000068.8	29614804	><	NC_000068.8	29614730	60	ERR2680377.12448	Foldback
NC_000068.8	136623184	<<	NC_000084.7	50261946	60	ERR2680377.12495	Chimeric
NC_000067.7	123870282	>>	NC_000067.7	123866974	60	ERR2680377.12507	Pass
NC_000068.8	136623178	<>	NC_000074.7	38610255	60	ERR2680377.12573	Chimeric
NC_000075.7	15176319	>>	NC_000075.7	15174023	60	ERR2680377.12778	Pass
NC_000067.7	172100511	><	NC_000067.7	172102170	60	ERR2680377.13124	Pass
NC_000072.7	86932148	<>	NC_000072.7	86968171	60	ERR2680377.13362	Pass
NC_000085.7	60762132	>>	NC_000080.7	76677484	60	ERR2680377.13734	Chimeric
NC_000076.7	76092934	<>	NC_000076.7	76092887	60	ERR2680377.13938	Foldback
NC_000068.8	25112864	><	NC_000068.8	25112687	60	ERR2680377.14398	Foldback
NC_000071.7	148194435	<>	NC_000071.7	148194496	60	ERR2680377.14537	Foldback
NC_000073.7	28023134	<>	NC_000073.7	28023404	60	ERR2680377.14645	Pass
NC_000071.7	36953190	><	NC_000082.7	3895622	39	ERR2680377.14742	Chimeric
NC_000084.7	40374106	>>	NC_000078.7	29834188	60	ERR2680377.14873	Chimeric
NC_000078.7	29834727	><	NC_000074.7	17131092	60	ERR2680377.14873	Chimeric
NC_000070.7	132861155	<<	NC_000070.7	132864346	60	ERR2680377.14929	Pass
NC_000076.7	69592797	>>	NC_000076.7	69591025	60	ERR2680377.14979	Pass
NC_000083.7	28441533	>>	NC_000083.7	28439760	60	ERR2680377.14992	Pass
NC_000070.7	36412476	>>	NC_000070.7	36409578	60	ERR2680377.15237	Pass
NC_000067.7	167109215	><	NC_000067.7	167109006	57	ERR2680377.15266	Pass
NC_000081.7	78776182	<>	NC_000081.7	78776686	36	ERR2680377.15330	Pass
NC_000075.7	29090553	>>	NC_000075.7	29322850	60	ERR2680377.15532	Pass
NC_000071.7	49491981	<>	NC_000073.7	123735911	60	ERR2680377.15626	Chimeric
NC_000068.8	148713875	>>	NC_000081.7	93444574	53	ERR2680377.15717	Chimeric
NC_000073.7	30325526	><	NC_000071.7	69268138	60	ERR2680377.15909	Chimeric
NC_000068.8	25951647	<>	NC_000068.8	25979606	60	ERR2680377.15985	Pass
NC_000069.7	145598779	<<	NC_000068.8	4309833	60	ERR2680377.16161	Chimeric
NC_000067.7	185018130	<>	NC_000072.7	71541101	60	ERR2680377.16580	Chimeric
NC_000070.7	155346905	>>	NC_005089.1	11120	29	ERR2680377.16620	Chimeric
NC_000067.7	92943962	>>	NC_000076.7	117203683	60	ERR2680377.16696	Chimeric
NC_000085.7	46300751	>>	NC_000076.7	98859537	59	ERR2680377.16759	Chimeric
NC_000072.7	67262569	<>	NC_005089.1	1093	60	ERR2680377.16784	Chimeric
NC_000067.7	159565078	<<	NC_000067.7	159351782	60	ERR2680377.16837	Pass
NC_000079.7	49032726	<>	NC_000079.7	49032839	60	ERR2680377.17302	Foldback
NC_000072.7	108360678	<<	NC_000072.7	108366490	60	ERR2680377.17327	Pass
NC_000075.7	107691281	>>	NC_000075.7	107690819	23	ERR2680377.17393	Pass
NC_000067.7	124099009	<>	NC_000079.7	91702815	60	ERR2680377.17604	Chimeric
NC_000084.7	77867615	<>	NC_000084.7	77869509	60	ERR2680377.17761	Pass
NC_000067.7	189060689	><	NC_000067.7	189059170	30	ERR2680377.17948	Pass
NC_000068.8	37693772	<<	NC_000068.8	37694454	60	ERR2680377.18054	Pass
NC_000072.7	127062616	><	NC_000071.7	147431231	27	ERR2680377.18130	Chimeric
NC_000070.7	138019014	<>	NC_000075.7	27802590	60	ERR2680377.18132	Chimeric
NC_000074.7	68173606	>>	NC_000074.7	68166329	60	ERR2680377.18257	Pass
NC_000077.7	113521288	<>	NC_000076.7	31575533	60	ERR2680377.18513	Chimeric
NC_000072.7	114224693	><	NC_000072.7	114220911	60	ERR2680377.18541	Pass
NC_000068.8	74351858	<<	NC_000068.8	74352475	60	ERR2680377.18680	Pass
NC_000068.8	136623879	<>	NC_000076.7	128038144	60	ERR2680377.18726	Chimeric
NC_000075.7	29090553	>>	NC_000075.7	29874139	60	ERR2680377.18805	Pass
NC_000068.8	155344646	<>	NC_000068.8	155345086	60	ERR2680377.18869	Pass
NC_000072.7	96243388	<<	NC_000072.7	96244879	60	ERR2680377.18881	Pass
NC_000083.7	47645707	>>	NC_000083.7	47644439	60	ERR2680377.18968	Pass
NC_000078.7	111635821	<>	NC_000079.7	34258476	60	ERR2680377.19127	Chimeric
NC_000069.7	32520613	>>	NC_000069.7	32519250	60	ERR2680377.19168	Pass
NC_000068.8	181189163	<<	NC_000068.8	181191578	60	ERR2680377.19327	Pass
NC_000072.7	84754527	>>	NC_000072.7	84751461	60	ERR2680377.19482	Pass
NC_000075.7	35127621	><	NC_000075.7	35127483	60	ERR2680377.19571	Foldback
NC_000083.7	66408483	><	NC_000082.7	11027989	60	ERR2680377.19597	Chimeric
NC_000077.7	42199604	>>	NC_000079.7	92157541	60	ERR2680377.19631	Chimeric
NC_000081.7	23475869	>>	NC_000072.7	89360232	60	ERR2680377.19722	Chimeric
NC_000073.7	65102838	>>	NC_000073.7	65101286	60	ERR2680377.19886	Pass
NC_000070.7	149045610	><	NC_000070.7	149045593	60	ERR2680377.20005	Foldback
NC_000070.7	155866162	<>	NC_000068.8	148535907	60	ERR2680377.20318	Chimeric
NC_005089.1	14144	<>	NC_000069.7	115821129	60	ERR2680377.20506	Chimeric
NC_000078.7	107896100	<<	NC_000078.7	107899235	60	ERR2680377.20736	Pass
NC_000077.7	50015289	<>	NC_000077.7	50015154	60	ERR2680377.20776	Foldback
NC_000082.7	84845549	><	NC_000082.7	84850394	31	ERR2680377.21040	Pass
NC_000070.7	76317124	><	NC_000070.7	98569860	60	ERR2680377.21143	Chimeric
NC_000078.7	82498150	<>	NC_000081.7	88956181	60	ERR2680377.21344	Chimeric
NC_000069.7	129428023	><	NC_000069.7	129427951	37	ERR2680377.21360	Foldback
NC_000073.7	19430195	<<	NC_000070.7	138185396	60	ERR2680377.21806	Chimeric
NC_000067.7	172102166	><	NC_000067.7	172101503	60	ERR2680377.21891	Pass
NC_000082.7	13605820	>>	NC_000082.7	13602420	60	ERR2680377.21964	Pass
NC_000085.7	42258481	><	NC_000083.7	80905779	60	ERR2680377.21992	Chimeric
NC_000073.7	104598760	<>	NC_000073.7	104599173	12	ERR2680377.22004	Pass
NC_000069.7	151893130	><	NC_000069.7	151890489	60	ERR2680377.22129	Pass
NC_000070.7	126571468	<>	NC_000081.7	35931024	60	ERR2680377.22181	Chimeric
NC_000068.8	136623890	<<	NC_000075.7	112038437	60	ERR2680377.22344	Chimeric
NC_000072.7	11900372	<>	NC_000084.7	20798469	60	ERR2680377.22441	Chimeric
NC_000079.7	43452379	><	NC_000072.7	120354581	60	ERR2680377.22519	Chimeric
NC_000080.7	68325787	><	NC_000080.7	68379318	60	ERR2680377.22543	Pass
NC_000083.7	30471966	>>	NC_000083.7	30470220	60	ERR2680377.22548	Pass
NC_000076.7	67722325	><	NC_000077.7	118470304	60	ERR2680377.22588	Chimeric
NC_000068.8	136623967	><	NC_000082.7	22869630	17	ERR2680377.22803	Chimeric
NC_000076.7	67997422	><	NC_000078.7	109600139	60	ERR2680377.22821	Chimeric
NC_000074.7	71997877	<>	NC_000074.7	71998407	60	ERR2680377.22844	Pass
NC_000074.7	84665749	<>	NC_000074.7	84668235	60	ERR2680377.22941	Pass
NC_000067.7	63159157	<<	NC_000067.7	63168639	31	ERR2680377.23070	Pass
NC_000074.7	17042454	<<	NC_000074.7	17044476	60	ERR2680377.23092	Pass
NC_000068.8	132635511	<>	NC_000079.7	75792982	40	ERR2680377.23112	Chimeric
NC_000070.7	107058193	>>	NC_005089.1	2117	60	ERR2680377.23119	Chimeric
NC_000077.7	58823319	><	NC_000077.7	58824187	60	ERR2680377.23485	Pass
NC_000080.7	124913921	<<	NC_000080.7	124373699	60	ERR2680377.23601	Pass
NC_000075.7	108054986	<<	NC_000075.7	108055801	60	ERR2680377.23629	Pass
NC_000081.7	26335462	>>	NC_000081.7	26333438	60	ERR2680377.23770	Pass
NC_000085.7	4413818	<<	NC_000085.7	4415617	60	ERR2680377.23783	Pass
NC_000074.7	119285662	>>	NC_000074.7	119284291	60	ERR2680377.23873	Pass
NC_000079.7	110535316	<>	NC_000079.7	110535973	60	ERR2680377.24045	Pass
NC_000073.7	123997025	<>	NC_000073.7	123997369	60	ERR2680377.24204	Pass
NC_000072.7	47908663	<>	NC_000072.7	47888973	58	ERR2680377.24375	Pass
NC_000083.7	90912847	<<	NC_000083.7	90914203	37	ERR2680377.24399	Pass
NC_000070.7	86774139	<<	NC_000071.7	12529590	60	ERR2680377.24511	Chimeric
NC_000077.7	101863043	<<	NC_000077.7	101864810	60	ERR2680377.24663	Pass
NC_000081.7	83960766	><	NC_000081.7	83960678	60	ERR2680377.24668	Foldback
NC_000074.7	96161440	>>	NC_000081.7	34238330	60	ERR2680377.24676	Chimeric
NC_000074.7	95301570	<>	NC_000067.7	43609084	60	ERR2680377.24730	Chimeric
NC_000084.7	53359842	>>	NC_000084.7	53358108	60	ERR2680377.24840	Pass
NC_000075.7	72442765	>>	NC_000075.7	72441691	60	ERR2680377.25632	Pass
NC_000073.7	27660615	>>	NC_000071.7	134199572	60	ERR2680377.25744	Chimeric
NC_000079.7	43110090	<<	NC_000079.7	42863326	60	ERR2680377.25842	Pass
NC_000075.7	122906833	<>	NC_000075.7	122929538	60	ERR2680377.25929	Pass
NC_000067.7	86490080	><	NC_000067.7	86489790	60	ERR2680377.26173	Pass
NC_000078.7	65120725	><	NC_000075.7	37457456	60	ERR2680377.26185	Chimeric
NC_000078.7	11376234	><	NC_000070.7	46091191	60	ERR2680377.26279	Chimeric
NC_000075.7	95301148	><	NC_000077.7	19925887	23	ERR2680377.26535	Chimeric
NC_000067.7	165204138	<<	NC_000075.7	63196464	40	ERR2680377.26605	Chimeric
NC_000069.7	102964595	<>	NC_000069.7	102964938	45	ERR2680377.26616	Pass
NC_000086.8	20536804	<<	NC_000086.8	20539130	60	ERR2680377.26643	Pass
NC_000086.8	20538502	<>	NC_000086.8	20538497	60	ERR2680377.26643	Foldback
NC_000076.7	91979550	<<	NC_000076.7	91981140	60	ERR2680377.26720	Pass
NC_000077.7	19964952	<>	NC_000083.7	27659877	60	ERR2680377.26836	Chimeric
NC_000081.7	102239925	><	NC_000071.7	120748982	57	ERR2680377.26864	Chimeric
NC_000083.7	24761767	>>	NC_000083.7	24761129	25	ERR2680377.26990	Pass
NC_000075.7	42992904	><	NC_000075.7	42991885	60	ERR2680377.27002	Pass
NC_000074.7	116078375	<<	NC_000074.7	115438991	60	ERR2680377.27059	Pass
NC_000076.7	79830496	><	NC_000076.7	79830359	60	ERR2680377.27943	Foldback
NC_000079.7	55874040	><	NC_000067.7	23329822	60	ERR2680377.27953	Chimeric
NC_000085.7	31207429	<<	NC_000085.7	31208604	60	ERR2680377.28041	Pass
NC_000073.7	87453020	<<	NC_000073.7	87252410	60	ERR2680377.28101	Pass
NC_000078.7	11486418	><	NC_005089.1	3710	60	ERR2680377.28149	Chimeric
NC_000075.7	107431936	<>	NC_000074.7	113602611	60	ERR2680377.28169	Chimeric
NC_000078.7	100165785	<>	NC_000070.7	116557215	60	ERR2680377.28329	Chimeric
NC_000070.7	134290547	>>	NC_000086.8	86753776	32	ERR2680377.28591	Chimeric
NC_000074.7	85616315	><	NC_000074.7	85615255	60	ERR2680377.28888	Pass
NC_000078.7	89472928	><	NC_000085.7	3961619	60	ERR2680377.28959	Chimeric
NC_000085.7	3958869	<>	NC_000080.7	54472941	60	ERR2680377.28959	Chimeric
NC_005089.1	6160	<>	NC_005089.1	1094	60	ERR2680377.28979	Pass
NC_000078.7	11436872	<<	NC_000070.7	115932225	59	ERR2680377.28989	Chimeric
NC_000075.7	50801766	><	NC_000075.7	50801372	60	ERR2680377.29311	Pass
NC_000080.7	124913921	<<	NC_000080.7	124373705	60	ERR2680377.29389	Pass
NC_000073.7	30316401	<<	NC_000077.7	67579759	60	ERR2680377.29399	Chimeric
NC_000067.7	6344589	<>	NC_000074.7	96590771	28	ERR2680377.29468	Chimeric
NC_000069.7	34566479	<<	NC_000069.7	34568911	60	ERR2680377.29473	Pass
NC_000074.7	111969156	<<	NC_000074.7	111969800	60	ERR2680377.29567	Pass
NC_000073.7	45109260	>>	NC_000068.8	155476344	12	ERR2680377.29673	Chimeric
NC_000068.8	30002054	<<	NC_000068.8	30004188	60	ERR2680377.29735	Pass
NC_000078.7	44650344	<>	NC_000078.7	44647912	60	ERR2680377.29760	Pass
NC_000071.7	31245684	><	NC_000071.7	31245429	60	ERR2680377.29899	Pass
NC_000085.7	5852031	><	NC_000080.7	45597002	60	ERR2680377.29998	Chimeric
NC_000084.7	70642720	><	NC_000079.7	13406855	17	ERR2680377.30061	Chimeric
NC_000085.7	4157417	<>	NC_000085.7	4157626	60	ERR2680377.30089	Pass
NC_000080.7	52500104	>>	NC_000080.7	124913288	60	ERR2680377.30166	Chimeric
NC_000073.7	59623400	><	NC_000079.7	63446675	60	ERR2680377.30486	Chimeric
NC_000073.7	45458331	><	NC_000082.7	84531424	60	ERR2680377.30525	Chimeric
NC_000084.7	82602837	<>	NC_000084.7	82603173	60	ERR2680377.30529	Pass
NC_000080.7	124912993	<<	NC_000083.7	87562711	60	ERR2680377.30550	Chimeric
NC_000076.7	34174508	><	NC_000076.7	34173906	60	ERR2680377.30652	Pass
NC_000069.7	55385264	><	NC_000069.7	55163631	60	ERR2680377.30763	Pass
NC_000067.7	190771451	><	NC_000075.7	27940497	60	ERR2680377.30788	Chimeric
NC_000071.7	23307409	<<	NC_000071.7	23094344	60	ERR2680377.30861	Pass
NC_000068.8	118621042	<>	NC_000068.8	118624947	60	ERR2680377.30881	Pass
NC_000086.8	156450781	><	NC_000077.7	62443879	50	ERR2680377.30940	Chimeric
NC_000068.8	173624428	><	NC_000068.8	173622960	60	ERR2680377.31105	Pass
NC_000068.8	37550782	<>	NC_000077.7	30756787	60	ERR2680377.31161	Chimeric
NC_000081.7	90656274	><	NC_000085.7	27739772	25	ERR2680377.31350	Chimeric
NC_000072.7	39300584	><	NC_000072.7	39302937	60	ERR2680377.31376	Pass
NC_000071.7	136152088	<>	NC_000071.7	136152492	35	ERR2680377.31409	Pass
NC_000081.7	92299926	>>	NC_000081.7	92575380	60	ERR2680377.31462	Pass
NC_000069.7	137784258	<>	NC_000069.7	137784255	60	ERR2680377.31945	Foldback
NC_000078.7	83032071	<<	NC_000078.7	82698671	60	ERR2680377.32136	Pass
NC_000071.7	131562713	>>	NC_000071.7	132287762	60	ERR2680377.32210	Pass
NC_000071.7	132287977	>>	NC_000071.7	132570353	60	ERR2680377.32210	Pass
NC_000070.7	129005512	<>	NC_000070.7	128997530	60	ERR2680377.32275	Pass
NC_000082.7	96268918	<<	NC_000077.7	55290266	60	ERR2680377.32285	Chimeric
NC_000081.7	79708779	><	NC_000081.7	79710815	60	ERR2680377.32327	Pass
NC_000068.8	119128430	><	NC_000068.8	119125255	60	ERR2680377.32344	Pass
NC_000069.7	156279607	>>	NC_000071.7	139959811	60	ERR2680377.32382	Chimeric
NC_000078.7	89153794	<<	NC_000078.7	88921681	60	ERR2680377.32870	Pass
NC_000077.7	51475630	<>	NC_000077.7	51475688	60	ERR2680377.33135	Foldback
NC_000070.7	151839317	><	NC_000070.7	151830099	60	ERR2680377.33279	Pass
NC_000068.8	172848376	>>	NC_000068.8	172847592	60	ERR2680377.33473	Pass
NC_000069.7	10498708	>>	NC_000069.7	10495577	60	ERR2680377.33545	Pass
NC_000069.7	138525949	>>	NC_000069.7	138524561	60	ERR2680377.33575	Pass
NC_000068.8	181028429	<>	NC_000068.8	181028810	60	ERR2680377.33589	Pass
NC_000083.7	80351078	>>	NC_000083.7	80350055	60	ERR2680377.33757	Pass
NC_000077.7	70416206	<>	NC_000083.7	80729859	60	ERR2680377.33771	Chimeric
NC_000072.7	116237514	<>	NC_000072.7	87866057	60	ERR2680377.34065	Chimeric
NC_000073.7	90796310	>>	NC_000073.7	90794025	60	ERR2680377.34286	Pass
NC_000076.7	80941817	<<	NC_000082.7	95955983	60	ERR2680377.34332	Chimeric
NC_000074.7	96441358	<>	NC_000074.7	96441077	60	ERR2680377.34441	Pass
NC_000080.7	76676532	>>	NC_000080.7	76674679	60	ERR2680377.34513	Pass
NC_000087.8	90804307	<>	NC_000082.7	3862822	41	ERR2680377.34714	Chimeric
NC_000067.7	22756475	<<	NC_000085.7	5852639	60	ERR2680377.34874	Chimeric
NC_000086.8	135147213	<<	NC_000071.7	14114294	60	ERR2680377.35034	Chimeric
NC_000072.7	96500295	<<	NC_000072.7	96219367	44	ERR2680377.35078	Pass
NC_000077.7	62220519	<>	NC_000077.7	62221693	60	ERR2680377.35106	Pass
NC_000069.7	37786314	<<	NC_000067.7	39409131	34	ERR2680377.35114	Chimeric
NC_000080.7	65015504	><	NC_000068.8	148717351	60	ERR2680377.35251	Chimeric
NC_000074.7	84666358	<>	NC_000074.7	84666264	60	ERR2680377.35377	Foldback
NC_000077.7	118381028	><	NC_000077.7	118381079	60	ERR2680377.35390	Foldback
NC_000077.7	80368993	<<	NC_000077.7	80369672	60	ERR2680377.35440	Pass
NC_000072.7	38583649	<>	NC_000072.7	38583890	60	ERR2680377.35445	Pass
NC_000073.7	64403066	<<	NC_000073.7	140417876	60	ERR2680377.35471	Chimeric
NC_000073.7	140415052	<<	NC_000077.7	21512952	60	ERR2680377.35471	Chimeric
NC_000068.8	122425399	><	NC_000068.8	122445103	34	ERR2680377.35484	Pass
NC_000077.7	77585315	><	NC_000077.7	77584831	31	ERR2680377.35489	Pass
NC_000068.8	73648076	><	NC_000083.7	78536401	30	ERR2680377.35581	Chimeric
NC_000068.8	20534767	<<	NC_000068.8	19915092	60	ERR2680377.35938	Pass
NC_000068.8	32457492	<>	NC_000068.8	32457612	60	ERR2680377.35959	Foldback
NC_000086.8	72897925	>>	NC_000083.7	74806738	60	ERR2680377.36013	Chimeric
NC_000078.7	72263587	><	NC_000078.7	72264212	60	ERR2680377.36053	Pass
NC_000075.7	124063317	><	NC_000083.7	90807602	60	ERR2680377.36157	Chimeric
NC_000080.7	3839262	<<	NC_000080.7	3598202	60	ERR2680377.36203	Pass
NC_000075.7	34483749	>>	NC_000075.7	34482102	60	ERR2680377.36252	Pass
NC_000071.7	131562705	>>	NC_000071.7	132287762	60	ERR2680377.36301	Pass
NC_000074.7	17370647	<<	NC_000074.7	17372105	60	ERR2680377.36617	Pass
NC_000078.7	85266877	<>	NC_000078.7	85272774	60	ERR2680377.36693	Pass
NC_000075.7	109939187	><	NC_000075.7	109984596	60	ERR2680377.36733	Pass
NC_005089.1	3285	>>	NC_000078.7	8988179	60	ERR2680377.36784	Chimeric
